"airport";"year";"month";"tm_mov_naz";"p_tm_mov_naz";"tm_mov_internaz";"p_tm_mov_internaz";"tm_mov_UE";"p_tm_mov_UE";"tm_mov_tcomm";"p_tm_mov_tcomm";"tm_mov_tgenav";"p_tm_mov_tgenav";"tm_mov_tot";"p_tm_mov_tot";"tp_mov_naz";"p_tp_mov_naz";"tp_mov_internaz";"p_tp_mov_internaz";"tp_mov_UE";"p_tp_mov_UE";"tp_mov_tcomm";"p_tp_mov_tcomm";"tp_mov_tgenav";"p_tp_mov_tgenav";"tp_mov_tot";"p_tp_mov_tot";"cod3";"cod4";"rating";"nroutes";"nro"
"Napoli";2001;8;2860;-15.6093242844497;2046;5.84583548887739;1783;7.21587492483464;4906;-7.81661029688087;805;-13.3476856835307;5711;-8.63861782114862;1686464;-4.16407869112557;1039169;9.5565421186413;982818;12.6677862927956;96986;4.39940150055437;2822619;0.765967564186732;7556;34.5681211041852;"NAP";"LIRN";75;12482;6
"Olbia";2001;8;2340;-9.3725793958172;392;6.23306233062331;288;-1.03092783505155;2732;-7.42121314808539;2251;28.6285714285714;4983;5.99872367581366;851901;1.19716377433261;142564;11.5890981386684;114901;13.3503669797175;15711;73.8904261206419;1010176;3.22496260024361;11887;10.6076114264446;"OLB";"LIEO";77;5408;5
"Palermo";2001;8;3555;-8.35266821345708;714;29.1139240506329;477;27.8820375335121;4269;-3.67779783393502;256;89.6296296296296;4525;-0.919640902123933;1978173;4.08478642912015;297658;3.24914756270574;227244;-0.0461845004816384;23183;17.0444792245166;2299014;4.09193358078599;2114;107.254901960784;"PMO";"LICJ";67;7938;5
"Perugia";2001;8;259;10.2127659574468;18;20;10;-9.09090909090909;277;10.8;690;4.7040971168437;967;6.38063806380638;18317;-6.4647908900577;19917;32.673860911271;13368;13.4708428826076;7;-92.3913043478261;38241;10.2459134546084;1555;-4.36654366543665;"PEG";"LIRZ";74;50;1
"Pescara";2001;8;152;-24;147;116.176470588235;97;203.125;299;11.5671641791045;188;-59.656652360515;487;-33.6512261580381;41272;-28.9614100313264;54386;266.605999325918;44266;0;166;0;95824;31.3863408882125;3417;-27.7284263959391;"PSR";"LIBP";66;162;2
"Pisa";2001;8;999;-0.794438927507448;1283;21.8423551756885;0;0;2282;10.7766990291262;378;18.8679245283019;2660;11.8587047939445;382300;-1.58802890320721;562744;29.7452332096004;0;0;8137;13.2183108390149;953181;14.926101959763;4422;18.1721004810262;"PSA";"LIRP";66;11552;6
"Reggio Calabria";2001;8;631;1.44694533762058;0;0;0;0;631;1.44694533762058;0;0;631;1.44694533762058;349153;-9.30949573240103;0;0;0;0;0;0;349153;-9.30949573240103;0;0;"REG";"LICR";76;72;1
"Rimini";2001;8;0;0;257;-21.6463414634146;154;-28.3720930232558;257;-21.6463414634146;228;18.75;485;-6.73076923076923;1719;-56.3705583756345;158153;1.16094615512543;104574;-1.54405257310712;6676;-32.9112651994774;166548;-2.16238126288705;2205;5.30085959885387;"RMI";"LIPR";70;18;1
"Roma Ciampino";2001;8;280;-38.3259911894273;1107;10.0397614314115;773;15.2011922503726;1387;-5;1086;21.0702341137124;2473;4.92151039456937;2454;-88.4053862508859;482945;-3.96378445666742;365472;-0.266068490122719;7596;-54.8555806489956;492995;-8.85131150056668;21708;7.83904619970194;"CIA";"LIRA";68;5000;5
"Roma Fiumicino";2001;8;12356;-0.435132957292506;12383;-0.610000802632635;7925;0.507292327203551;24739;-0.522739153162572;0;0;24739;-0.522739153162572;8523590;2.84940585442055;9269420;3.49406435009309;5406484;7.40299136045516;291509;4.4853850427427;18084519;3.20495725683115;0;0;"FCO";"LIRF";74;219122;9
"Trieste";2001;8;505;-38.3394383394383;375;23.7623762376238;284;33.3333333333333;880;-21.5686274509804;548;2.04841713221601;1428;-13.9240506329114;279521;-5.17640274102721;136041;62.4370149253731;105753;78.9481699578659;2114;140.500568828214;417676;10.0859494635077;3578;-10.3707414829659;"TRS";"LIPQ";72;242;2
"Torino";2001;8;1381;-7.50167448091092;2293;12.9556650246305;2068;19.1244239631336;3674;4.28611978427477;1077;13.8477801268499;4751;6.31013649586037;995066;-0.0664840197322964;974554;7.56096807233171;905123;9.68356048680765;20387;511.854741896759;1990007;4.4563877743414;9173;8.93005581284883;"TRN";"LIMF";76;3700;4
"Trapani";2001;8;342;8.9171974522293;37;0;20;0;379;20.7006369426752;48;71.4285714285714;427;24.8538011695906;32417;143.700195459329;5592;0;3880;0;8047;144.070367000303;46056;175.966205284918;49;345.454545454545;"TPS";"LICT";61;1568;4
"Treviso";2001;8;0;0;603;28.2978723404255;0;0;603;28.2978723404255;248;-11.7437722419929;851;13.3155792276964;0;0;276277;56.2087253482902;0;0;445;-65.6900539707016;276722;55.3213105000533;4171;-26.2422634836428;"TSF";"LIPH";64;2888;4
"Venezia";2001;8;1906;-3.49367088607595;3513;-3.06291390728477;3395;12.5663129973475;5419;-3.21485979639221;326;12.0274914089347;5745;-2.46179966044143;998558;1.0709763486397;1938054;8.74887845322778;1779592;13.0136473038795;12239;-14.5917655268667;2948851;5.90448218746723;5661;-6.58415841584158;"VCE";"LIPZ";75;30013;7
"Verona";2001;8;1208;-11.8248175182482;2564;14.1585040071238;2096;17.2259507829978;3772;4.3141592920354;178;-23.6051502145923;3950;2.62405819693427;560539;-10.6309130158892;1041787;6.74397111380701;723572;8.13769109025124;23964;74.2836363636364;1626290;0.578501560977058;3480;14.2106990482442;"VRN";"LIPX";67;2965;4
"Alghero";2001;9;734;-21.244635193133;136;-10.5263157894737;134;-1.47058823529412;870;-19.7416974169742;106;152.380952380952;976;-13.3214920071048;438124;-4.81752078540253;123191;57.8279140082507;292438;302.712863379099;2079;885.308056872038;563394;4.61040841942647;875;26.9956458635704;"AHO";"LIEA";70;1922;4
"Ancona";2001;9;531;14.9350649350649;520;34.020618556701;280;31.4553990610329;1051;23.6470588235294;742;-18.640350877193;1793;1.75936435868331;179145;-4.87808763247881;173423;25.0787949600075;139479;48.30933798354;365;37.218045112782;352933;7.84845790208679;4942;-23.9575319279889;"AOI";"LIPY";77;200;2
"Bari";2001;9;1420;-5.52228875582169;212;53.6231884057971;0;0;1632;-0.548446069469835;348;-29.8387096774194;1980;-7.34674777725784;867381;-8.14551323256723;37220;22.0928325405937;0;0;5049;251.601671309192;909650;-6.8191596156604;3125;64.8206751054852;"BRI";"LIBD";72;5000;5
"Bergamo";2001;9;867;10.4458598726115;1983;-25.9522031366692;1444;-19.0128996074033;2850;-17.7014149581288;290;-7.05128205128205;3140;-16.8211920529801;297551;-25.0214187799863;595568;-7.06041709580969;374552;1.00478391482798;8540;-13.7025060630558;901659;-13.9273699926305;3052;13.7108792846498;"BGY";"LIME";73;13122;6
"Bologna";2001;9;1479;-7.90784557907846;3683;5.22857142857143;3063;5.36635706914345;5162;1.09674892283588;0;0;5162;-6.17957106506725;883563;3.37721627990237;1907833;3.24313559748537;1506634;4.33811267652452;56773;-2.63925092605296;2848169;3.16040382293828;294;-94.2194258749508;"BLQ";"LIPE";72;15488;6
